name,party,house,position
逢沢　　一郎,自民党,衆議院,
青柳　　仁士,日本維新の会,衆議院,常任役員
青柳　陽一郎,立憲民主党,衆議院,
青山　　大人,立憲民主党,衆議院,
赤澤　　亮正,自民党,衆議院,
赤羽　　一嘉,公明党,衆議院,副代表
あかま　二郎,自民党,衆議院,
赤嶺　　政賢,共産党,衆議院,
阿久津　幸彦,立憲民主党,衆議院,
浅野　　　哲,国民民主党,衆議院,
東　　　克哉,立憲民主党,衆議院,
東　　　国幹,自民党,衆議院,
東　　　　徹,日本維新の会,衆議院,常任役員
安住　　　淳,立憲民主党,衆議院,
麻生　　太郎,自民党,衆議院,最高顧問
阿部　　圭史,日本維新の会,衆議院,
阿部　　　司,日本維新の会,衆議院,常任顧問
あべ　　俊子,自民党,衆議院,
阿部　　知子,立憲民主党,衆議院,
阿部　　弘樹,日本維新の会,衆議院,
阿部　祐美子,立憲民主党,衆議院,
荒井　　　優,立憲民主党,衆議院,
新垣　　邦男,立憲民主党,衆議院,
有田　　芳生,立憲民主党,衆議院,
安藤じゅん子,立憲民主党,衆議院,
安藤　たかお,自民党,衆議院,
五十嵐　えり,立憲民主党,衆議院,
五十嵐　　清,自民党,衆議院,
池下　　　卓,日本維新の会,衆議院,
池田　　真紀,立憲民主党,衆議院,
池畑　浩太朗,日本維新の会,衆議院,
井坂　　信彦,立憲民主党,衆議院,
石井　　智恵,国民民主党,衆議院,
石川　　香織,立憲民主党,衆議院,
石田　　真敏,自民党,衆議院,
石破　　　茂,自民党,衆議院,党首
石橋　林太郎,自民党,衆議院,
石原　　宏高,自民党,衆議院,
泉　　　健太,立憲民主党,衆議院,常任顧問
市來　　伴子,立憲民主党,衆議院,
市村　浩一郎,日本維新の会,衆議院,
井出　　庸生,自民党,衆議院,
伊藤　　俊輔,立憲民主党,衆議院,
伊藤　　忠彦,自民党,衆議院,
伊藤　　達也,自民党,衆議院,
伊東　　信久,日本維新の会,衆議院,
伊東　　良孝,自民党,衆議院,
稲田　　朋美,自民党,衆議院,
稲富　　修二,立憲民主党,衆議院,
井野　　俊郎,自民党,衆議院,
井上　　信治,自民党,衆議院,
井上　　貴博,自民党,衆議院,
井上　　英孝,日本維新の会,衆議院,
猪口　　幸子,日本維新の会,衆議院,
井林　　辰憲,自民党,衆議院,
今井　　雅人,立憲民主党,衆議院,
今枝　宗一郎,自民党,衆議院,
岩田　　和親,自民党,衆議院,
岩谷　　良平,日本維新の会,衆議院,常任役員
岩屋　　　毅,自民党,衆議院,
上田　　英俊,自民党,衆議院,
上野　賢一郎,自民党,衆議院,
上村　　英明,れいわ新撰組,衆議院,
浮島　　智子,公明党,衆議院,
臼木　　秀剛,国民民主党,衆議院,
梅谷　　　守,立憲民主党,衆議院,
梅村　　　聡,日本維新の会,衆議院,
浦野　　靖人,日本維新の会,衆議院,
うるま　譲司,日本維新の会,衆議院,
江田　　憲司,立憲民主党,衆議院,
枝野　　幸男,立憲民主党,衆議院,最高顧問
江渡　　聡徳,自民党,衆議院,
江藤　　　拓,自民党,衆議院,
英利アルフィヤ,自民党,衆議院,
遠藤　　　敬,日本維新の会,衆議院,
遠藤　　利明,自民党,衆議院,
大石　あきこ,れいわ新撰組,衆議院,共同代表
大岡　　敏孝,自民党,衆議院,
大河原まさこ,立憲民主党,衆議院,
大串　　博志,立憲民主党,衆議院,代表代行
大串　　正樹,自民党,衆議院,
逢坂　　誠二,立憲民主党,衆議院,
大島　　　敦,立憲民主党,衆議院,
大空　　幸星,自民党,衆議院,
おおたけりえ,立憲民主党,衆議院,
大塚　小百合,立憲民主党,衆議院,
おおつき紅葉,立憲民主党,衆議院,
大西　　健介,立憲民主党,衆議院,
大西　　洋平,自民党,衆議院,
大野　敬太郎,自民党,衆議院,
大森　江里子,公明党,衆議院,
岡島　　一正,立憲民主党,衆議院,
岡田　　克也,立憲民主党,衆議院,常任顧問
岡田　　　悟,立憲民主党,衆議院,
岡田　　華子,立憲民主党,衆議院,
緒方　林太郎,有志の会,衆議院,会員
岡野　　純子,国民民主党,衆議院,
岡本　あき子,立憲民主党,衆議院,
岡本　　三成,公明党,衆議院,政務調査会長
岡本　　充功,立憲民主党,衆議院,
小川　　淳也,立憲民主党,衆議院,幹事長
奥下　　剛光,日本維新の会,衆議院,
奥野　総一郎,立憲民主党,衆議院,
小熊　　慎司,立憲民主党,衆議院,
尾崎　　正直,自民党,衆議院,
小沢　　一郎,立憲民主党,衆議院,
小竹　　　凱,国民民主党,衆議院,
落合　　貴之,立憲民主党,衆議院,
尾辻　かな子,立憲民主党,衆議院,
鬼木　　　誠,自民党,衆議院,
小野寺　五典,自民党,衆議院,政務調査会長
小渕　　優子,自民党,衆議院,
海江田　万里,立憲民主党,衆議院,常任顧問
河西　　宏一,公明党,衆議院,
梶山　　弘志,自民党,衆議院,
勝俣　　孝明,自民党,衆議院,
勝目　　　康,自民党,衆議院,
加藤　　鮎子,自民党,衆議院,
加藤　　勝信,自民党,衆議院,
加藤　　竜祥,自民党,衆議院,
金子　　恵美,立憲民主党,衆議院,
金子　　恭之,自民党,衆議院,
金子　　容三,自民党,衆議院,
金村　　龍那,日本維新の会,衆議院,常任役員
鎌田　さゆり,立憲民主党,衆議院,
上川　　陽子,自民党,衆議院,
神谷　　　裕,立憲民主党,衆議院,
亀井　亜紀子,立憲民主党,衆議院,
川内　　博史,立憲民主党,衆議院,
川崎　ひでと,自民党,衆議院,
川原田　英世,立憲民主党,衆議院,
河村　たかし,日本保守党,衆議院,党員
神田　　潤一,自民党,衆議院,
城井　　　崇,立憲民主党,衆議院,
城内　　　実,自民党,衆議院,
黄川田　仁志,自民党,衆議院,
菊田　真紀子,立憲民主党,衆議院,
菊池　大二郎,国民民主党,衆議院,
岸　　信千世,自民党,衆議院,
岸田　　文雄,自民党,衆議院,
岸田　　光広,国民民主党,衆議院,
北神　　圭朗,有志の会,衆議院,会員
北野　　裕子,参政党,衆議院,党員
木原　　誠二,自民党,衆議院,
木原　　　稔,自民党,衆議院,
吉良　　州司,有志の会,衆議院,会員
金城　　泰邦,公明党,衆議院,
草間　　　剛,自民党,衆議院,
櫛渕　　万里,れいわ新撰組,衆議院,共同代表
工藤　　彰三,自民党,衆議院,
国定　　勇人,自民党,衆議院,
国光　あやの,自民党,衆議院,
栗原　　　渉,自民党,衆議院,
黒岩　　宇洋,立憲民主党,衆議院,
黒田　　征樹,日本維新の会,衆議院,
玄葉　光一郎,無所属,衆議院,
源馬　謙太郎,立憲民主党,衆議院,
小池　　正昭,自民党,衆議院,
小泉　進次郎,自民党,衆議院,
小泉　　龍司,自民党,衆議院,
神津　たけし,立憲民主党,衆議院,
河野　　太郎,自民党,衆議院,
高村　　正大,自民党,衆議院,
古賀　　　篤,自民党,衆議院,
國場　幸之助,自民党,衆議院,
輿水　　恵一,公明党,衆議院,
小寺　　裕雄,自民党,衆議院,
後藤　　茂之,自民党,衆議院,
後藤　　祐一,立憲民主党,衆議院,
許斐　亮太郎,国民民主党,衆議院,
小林　　茂樹,自民党,衆議院,
小林　　鷹之,自民党,衆議院,
小林　　史明,自民党,衆議院,
小宮山　泰子,立憲民主党,衆議院,
